0,1,2,3,4,5,6,7
10627118,重點整理,NA,NA,NA,NA,NA,NA
10627119,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA,NA
10627119,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627119,完整投影片,完整教材錄影,課程相關疑難釋疑含相關規定,NA,NA,NA,NA
10627121,教材下載,完整教材錄影,教材下載,NA,NA,NA,NA
10627121,教材下載,NA,NA,NA,NA,NA,NA
10627121,教材下載,完整投影片,NA,NA,NA,NA,NA
10627121,教材下載,完整教材錄影,重點整理,教材下載,NA,NA,NA
10627121,完整教材錄影,測驗,重點整理,討論,完整投影片,完整教材錄影,NA
10627121,完整教材錄影,NA,NA,NA,NA,NA,NA
10627121,完整教材錄影,教材下載,NA,NA,NA,NA,NA
10627121,教材下載,NA,NA,NA,NA,NA,NA
10627121,完整教材錄影,NA,NA,NA,NA,NA,NA
10627121,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA,NA
10627122,完整教材錄影,討論,完整教材錄影,教材下載,NA,NA,NA
10627122,教材下載,NA,NA,NA,NA,NA,NA
10627122,教材下載,完整教材錄影,完整投影片,NA,NA,NA,NA
10627122,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627122,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627122,完整投影片,教材下載,NA,NA,NA,NA,NA
10627122,教材下載,NA,NA,NA,NA,NA,NA
10627123,完整教材錄影,相關規定,完整教材錄影,教材下載,NA,NA,NA
10627123,教材下載,完整投影片,NA,NA,NA,NA,NA
10627123,完整投影片,完整教材錄影,完整投影片,NA,NA,NA,NA
10627123,完整投影片,完整教材錄影,完整投影片,NA,NA,NA,NA
10627123,完整投影片,NA,NA,NA,NA,NA,NA
10627123,完整投影片,NA,NA,NA,NA,NA,NA
10627123,完整投影片,完整教材錄影,重點整理,完整教材錄影,NA,NA,NA
10627123,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627123,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627123,完整教材錄影,討論,完整教材錄影,教材下載,NA,NA,NA
10627123,教材下載,完整教材錄影,討論,完整教材錄影,NA,NA,NA
10627124,完整投影片,教材下載,NA,NA,NA,NA,NA
10627124,教材下載,完整投影片,討論,NA,NA,NA,NA
10627124,完整投影片,NA,NA,NA,NA,NA,NA
10627125,完整教材錄影,教材下載,NA,NA,NA,NA,NA
10627125,教材下載,NA,NA,NA,NA,NA,NA
10627125,教材下載,完整投影片,教材下載,完整教材錄影,教材下載,NA,NA
10627125,教材下載,完整教材錄影,教材下載,完整投影片,教材下載,完整投影片,NA
10627125,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627125,教材下載,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA
10627125,完整教材錄影,NA,NA,NA,NA,NA,NA
10627125,完整教材錄影,NA,NA,NA,NA,NA,NA
10627125,完整教材錄影,完整投影片,完整教材錄影,教材下載,完整教材錄影,NA,NA
10627125,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627125,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627125,完整教材錄影,NA,NA,NA,NA,NA,NA
10627125,完整教材錄影,課程相關疑難釋疑含相關規定,完整教材錄影,重點整理,討論,NA,NA
10627125,討論,完整投影片,教材下載,完整教材錄影,NA,NA,NA
10627125,完整教材錄影,教材下載,完整投影片,教材下載,NA,NA,NA
10627125,完整教材錄影,教材下載,完整教材錄影,NA,NA,NA,NA
10627126,完整教材錄影,討論,NA,NA,NA,NA,NA
10627126,完整教材錄影,NA,NA,NA,NA,NA,NA
10627126,完整教材錄影,課程相關疑難釋疑含相關規定,完整教材錄影,NA,NA,NA,NA
10627126,完整教材錄影,NA,NA,NA,NA,NA,NA
10627127,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627127,完整投影片,NA,NA,NA,NA,NA,NA
10627127,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627127,討論,NA,NA,NA,NA,NA,NA
10627127,完整教材錄影,NA,NA,NA,NA,NA,NA
10627127,完整教材錄影,討論,完整教材錄影,NA,NA,NA,NA
10627130,完整教材錄影,重點整理,完整教材錄影,教材下載,NA,NA,NA
10627130,教材下載,重點整理,NA,NA,NA,NA,NA
10627130,完整投影片,重點整理,完整投影片,重點整理,NA,NA,NA
10627130,重點整理,NA,NA,NA,NA,NA,NA
10627131,考古題,NA,NA,NA,NA,NA,NA
10627131,考古題,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA
10627131,完整教材錄影,討論,重點整理,完整教材錄影,教材下載,NA,NA
10627131,教材下載,NA,NA,NA,NA,NA,NA
10627131,教材下載,完整教材錄影,NA,NA,NA,NA,NA
10627132,完整投影片,NA,NA,NA,NA,NA,NA
10627132,完整投影片,完整教材錄影,完整投影片,教材下載,完整教材錄影,NA,NA
10627133,完整投影片,討論,測驗,NA,NA,NA,NA
10627133,完整投影片,NA,NA,NA,NA,NA,NA
10627133,完整投影片,完整教材錄影,教材下載,NA,NA,NA,NA
10627133,教材下載,完整教材錄影,NA,NA,NA,NA,NA
10627133,完整投影片,討論,重點整理,完整投影片,NA,NA,NA
10627133,完整投影片,重點整理,NA,NA,NA,NA,NA
10627133,重點整理,NA,NA,NA,NA,NA,NA
10627133,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627133,教材下載,完整投影片,重點整理,完整教材錄影,完整投影片,NA,NA
10627134,完整教材錄影,完整投影片,測驗,完整投影片,完整教材錄影,NA,NA
10627134,完整教材錄影,討論,NA,NA,NA,NA,NA
10627134,討論,完整教材錄影,NA,NA,NA,NA,NA
10627134,相關規定,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,討論,NA,NA,NA,NA,NA
10627135,討論,完整投影片,NA,NA,NA,NA,NA
10627135,完整投影片,NA,NA,NA,NA,NA,NA
